이미지 주소,브랜드,상품명,판매가격,원가,할인율,리뷰수,별점,상품 상세 이미지,중분류,소분류
https://cdn.chicor.com/images/product/20230810144125043.png?d=600x0,시코르메이크업,워터 글로우 틴트,11900,17000,30,37,99,"['https://cdn.chicor.com/images/editor/20230504100351314.jpg', 'https://cdn.chicor.com/images/editor/20230504100358580.gif', 'https://cdn.chicor.com/images/editor/20230504100406773.gif', 'https://cdn.chicor.com/images/editor/20230504100416733.jpg', 'https://cdn.chicor.com/images/editor/20230504100423810.gif', 'https://cdn.chicor.com/images/editor/20230504100430679.jpg']",립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20230728110249760.jpg?d=600x0,키스미,키스미 아이 라이트 블러리 픽싱 틴트,11200,16000,30,30,100,['https://cdn.chicor.com/images/editor/20230719171239543.jpg'],립메이크업,립틴트/락커
https://cdn.chicor.com/images/product/20220906153604726.jpg?d=600x0,아임미미,미스터리 블러틴트 V2,7200,12000,40,0,0,"['https://cdn.chicor.com/images/editor/20230407100541245.jpg', 'https://cdn.chicor.com/images/editor/20230407100547588.jpg', 'https://cdn.chicor.com/images/editor/20230407100555203.gif', 'https://cdn.chicor.com/images/editor/20230407100601705.jpg', 'https://cdn.chicor.com/images/editor/20230407100607722.jpg']",립메이크업,립틴트/락커
